Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy,Occupied
140,23.7,26.272,585.2,749.2,0.004764163,1
141,23.718,26.29,578.4,760.4,0.004772661,1
142,23.73,26.23,572.6666667,769.6666667,0.004765153,1
143,23.7225,26.125,493.75,774.75,0.004743773,1
144,23.754,26.2,488.6,779,0.004766594,1
145,23.76,26.26,568.6666667,790,0.004779332,1
146,23.73,26.29,536.3333333,798,0.004776136,1
147,23.754,26.29,509,797,0.004783094,1
148,23.754,26.35,476,803.2,0.004794094,1
149,23.736,26.39,510,809,0.004796189,1
150,23.745,26.445,481.5,815.25,0.004808886,1
151,23.7,26.56,481.8,824,0.004816793,1
152,23.7,26.6,475.25,832,0.004824104,1
153,23.7,26.7,469,845.3333333,0.004842381,1
154,23.7,26.774,464,852.4,0.004855906,1
155,23.7,26.89,464,861,0.00487711,1
156,23.7,26.9725,455,880,0.004892191,1
157,23.6,26.89,454,891,0.004847594,1
158,23.64,26.976,458,897.6,0.004875045,1
159,23.65,27.05,464,900.5,0.004891492,1
160,23.64,27.1,473,908.8,0.00489763,1
161,23.6,27.16,464,918,0.004896652,1
162,23.6,27.236,498.4,925.2,0.004910462,1
163,23.6,27.29,530.2,929.4,0.004920275,1
164,23.6,27.33,533.6,936.4,0.004927544,1
165,23.6,27.34,524.25,950,0.004929361,1
166,23.625,27.3925,498.6666667,961,0.004946406,1
167,23.6,27.39,516.3333333,963,0.004938448,1
168,23.6,27.412,501.2,958.6,0.004942446,1
169,23.6,27.5,522,965.3333333,0.004958439,1
170,23.6,27.525,520.5,979.25,0.004962982,1
171,23.6,27.6,505.2857143,978.4285714,0.004976614,1
172,23.6,27.6,488.3333333,983,0.004976614,1
173,23.6,27.54,512,992.6,0.004965709,1
174,23.6,27.6,511,997.2,0.004976614,1
175,23.61666667,27.63333333,501.5,999.5,0.004987718,1
176,23.66666667,27.7,503.6666667,1001,0.005015051,1
177,23.6,27.7,483.1666667,1009.5,0.00499479,1
178,23.6,27.7225,483.5,1019,0.004998879,1
179,23.6,27.79,473,1021,0.005011149,1
180,23.6,27.85666667,470.3333333,1024.666667,0.005023268,1
181,23.6,27.80428571,480.1428571,1030.428571,0.005013746,1
182,23.575,27.79,464,1026.25,0.005003545,1
183,23.54,27.81,474.4,1028,0.004996538,1
184,23.6,27.978,470,1034.8,0.005045325,1
185,23.525,28,454,1055.5,0.005026367,1
186,23.5,27.978,454,1055.25,0.00501476,1
187,23.5,28,454,1050,0.005018735,1
188,23.5,28,454,1051.25,0.005018735,1
189,23.5,28,445,1053.6,0.005018735,1
190,23.5,28,439,1055.5,0.005018735,1
191,23.5,28.025,444.25,1055,0.005023252,1
192,23.445,28.125,454.75,1059.5,0.005024491,1
193,23.39,28.18,455.8,1060,0.005017582,1
194,23.39,28.2,451.6,1073.6,0.005021172,1
195,23.39,28.2,451.6,1078.6,0.005021172,1
196,23.39,28.2,454.75,1081,0.005021172,1
197,23.39,28.2225,454.75,1082,0.005025211,1
198,23.39,28.37333333,457.5,1088.833333,0.005052286,1
199,23.37,28.39,464,1090.6,0.00504913,1
200,23.39,28.32333333,464,1086,0.00504331,1
201,23.37333333,28.445,464,1092.5,0.005060017,1
202,23.39,28.5,471.5,1103.75,0.005075025,1
203,23.32333333,28.5,475.6666667,1104.5,0.005054476,1
204,23.365,28.5,471.5,1103.5,0.00506731,1
205,23.29,28.5,467.75,1112,0.005044229,1
206,23.30666667,28.53333333,466.5,1105.666667,0.005055304,1
207,23.29,28.7,464,1104,0.005079916,1
208,23.29,28.7,467,1117.2,0.005079916,1
209,23.29,28.675,467.75,1121.25,0.005075455,1
210,23.29,28.61666667,466.5,1115.666667,0.005065046,1
211,23.29,28.66,459,1120,0.005072779,1
212,23.29,28.55,464,1123.75,0.005053151,1
213,23.29,28.6,470,1116,0.005062072,1
214,23.272,28.6,464,1126.8,0.005056527,1
215,23.2,28.4175,464,1112.75,0.005002016,1
216,23.23,28.5,449,1104.5,0.005025831,1
217,23.29,28.5,464,1108,0.005044229,1
218,23.215,28.63333333,462.3333333,1127.833333,0.005044923,1
219,23.2,28.6,469,1128.75,0.005034399,1
220,23.2,28.65,469,1124.25,0.005043272,1
221,23.2,28.62,469,1130.4,0.005037948,1
222,23.2,28.7,464,1138,0.005052145,1
223,23.2,28.7,456.5,1144,0.005052145,1
224,23.2,28.718,457,1140,0.005055339,1
225,23.2,28.79,450.25,1139.25,0.005068117,1
226,23.2,28.79,446,1167.333333,0.005068117,1
227,23.14,28.79,451.6,1159.6,0.005049618,1
228,23.15,28.89,454.75,1157.75,0.005070391,1
229,23.15,28.89,448,1159.5,0.005070391,1
230,23.18,28.83,444,1156.4,0.005069034,1
231,23.11666667,28.945,444,1160,0.005069809,1
